task,model,judge,criterion,n_samples,pearson_r,pearson_p,kendall_tau,kendall_p,spearman_r,spearman_p,mae,rmse,cohen_kappa,agreement_within_1,exact_agreement
interview,AF3_summary,Llama,overall,24,0.3501338577435767,0.09348289129659523,0.3572887190468934,0.06150404563660714,0.39003822561925783,0.05953871582879139,0.5416666666666666,0.9354143466934853,0.23943661971830987,0.8333333333333334,0.625
interview,AF3_summary,Llama,fluency,24,0.29277002188455997,0.16503046764147183,0.32097128032376626,0.10200224211154967,0.335860133242379,0.10859399417625223,0.5,0.816496580927726,0.2499999999999999,0.9166666666666666,0.5833333333333334
interview,AF3_summary,Llama,faithfulness,24,-0.14943570038860707,0.48584660826055914,-0.18487899777712063,0.3219708003930891,-0.19198947752457715,0.36878908322962456,1.25,1.6583123951777,-0.011709601873536313,0.7083333333333334,0.25
interview,AF3_summary,Llama,coverage,24,0.3495075413057186,0.09411110038279011,0.18142947611191462,0.3253710692258369,0.19516016267604644,0.3607813941815342,0.75,1.118033988749895,0.2101265822784809,0.8333333333333334,0.4583333333333333
interview,AF3_summary,Llama,purity,24,,,,,,,0.3333333333333333,1.1547005383792515,0.0,0.9166666666666666,0.9166666666666666
interview,AF3_summary,Llama,usefulness,24,0.1383969945510788,0.5189759577933145,0.14967960091575178,0.4324766150660674,0.16179122060156542,0.45007103726717923,0.7083333333333334,1.1726039399558574,0.06382978723404253,0.8333333333333334,0.5416666666666666
interview,AF3_summary,Mistral,overall,24,0.2062842492517587,0.3334995460190932,0.16372433836314543,0.38618211650171697,0.18015203321469322,0.3995805068731617,0.875,1.1726039399558574,0.12528473804100237,0.8333333333333334,0.3333333333333333
interview,AF3_summary,Mistral,fluency,24,0.12060453783110542,0.5745564432546074,-0.11581520856938242,0.5498239005722544,-0.11372439855866419,0.5967267309175235,0.9166666666666666,1.1547005383792515,-0.1707317073170731,0.875,0.25
interview,AF3_summary,Mistral,faithfulness,24,0.19848147123014515,0.35250308201166297,0.20712283925606487,0.27558991706373226,0.2191769093788033,0.30347832671549896,1.125,1.4288690166235205,-0.015590200445434244,0.75,0.20833333333333334
interview,AF3_summary,Mistral,coverage,24,0.19753479793961773,0.35485117487923595,0.015853057338939592,0.9311152120178032,0.02956336306324568,0.8909294059111772,1.0416666666666667,1.399404635312222,0.07913669064748197,0.7083333333333334,0.3333333333333333
interview,AF3_summary,Mistral,purity,24,,,,,,,0.0,0.0,,1.0,1.0
interview,AF3_summary,Mistral,usefulness,24,0.24557123921298143,0.24741773429843647,0.04239311107356367,0.8183119341797737,0.057347126123467373,0.7901133058045391,0.9166666666666666,1.3228756555322954,0.12271540469973885,0.75,0.4166666666666667
