,,,pearson_r,pearson_r,pearson_r,kendall_tau,kendall_tau,cohen_kappa,cohen_kappa,agreement_within_1,agreement_within_1,mae,mae,rmse,rmse
,,,mean,std,count,mean,std,mean,std,mean,std,mean,std,mean,std
task,judge,criterion,,,,,,,,,,,,,
interview,Llama,coverage,0.65,0.222,5,0.628,0.306,0.508,0.263,0.86,0.191,0.49,0.416,0.826,0.481
interview,Llama,faithfulness,0.496,0.394,5,0.473,0.398,0.3,0.301,0.827,0.199,0.671,0.577,0.97,0.604
interview,Llama,fluency,0.5,0.423,5,0.524,0.455,0.406,0.482,0.867,0.207,0.527,0.488,0.791,0.533
interview,Llama,overall,0.643,0.199,5,0.624,0.203,0.387,0.212,0.903,0.071,0.451,0.258,0.759,0.298
interview,Llama,purity,0.557,0.358,3,0.546,0.403,0.134,0.265,0.704,0.303,0.846,0.655,1.382,0.552
interview,Llama,usefulness,0.531,0.342,5,0.521,0.33,0.409,0.313,0.896,0.115,0.492,0.327,0.84,0.44
interview,Mistral,coverage,0.441,0.319,5,0.359,0.323,0.144,0.205,0.842,0.208,0.721,0.427,1.016,0.504
interview,Mistral,faithfulness,0.46,0.216,5,0.434,0.193,0.148,0.163,0.852,0.163,0.712,0.424,0.967,0.44
interview,Mistral,fluency,0.045,0.291,5,-0.081,0.338,-0.05,0.171,0.605,0.331,1.343,0.538,1.541,0.544
interview,Mistral,overall,0.499,0.207,5,0.457,0.188,0.146,0.077,0.91,0.091,0.697,0.21,0.933,0.226
interview,Mistral,purity,0.166,0.311,3,0.134,0.266,0.04,0.081,0.646,0.406,1.023,1.129,1.272,1.243
interview,Mistral,usefulness,0.345,0.296,5,0.25,0.292,0.087,0.168,0.821,0.142,0.78,0.383,1.092,0.426
interview,Qwen,coverage,0.519,0.184,5,0.464,0.235,-0.026,0.111,0.535,0.319,1.297,0.598,1.489,0.457
interview,Qwen,faithfulness,0.39,0.347,5,0.389,0.315,0.033,0.061,0.897,0.044,0.83,0.102,1.073,0.126
interview,Qwen,fluency,0.023,0.254,5,0.003,0.268,-0.094,0.209,0.915,0.073,0.731,0.24,0.956,0.25
interview,Qwen,overall,0.428,0.142,5,0.368,0.158,0.075,0.158,0.821,0.144,0.875,0.422,1.115,0.374
interview,Qwen,purity,,,0,,,0.0,0.0,0.631,0.412,1.085,1.172,1.365,1.304
interview,Qwen,usefulness,0.38,0.162,5,0.322,0.142,0.02,0.05,0.582,0.313,1.2,0.652,1.436,0.578
