model,score_overall,score_fluency,score_faithfulness,score_coverage,score_purity,score_usefulness,judge
AF35,2.8947368421052633,3.8947368421052633,2.3157894736842106,2.3157894736842106,,2.736842105263158,Llama
GAMA,1.6363636363636365,1.8181818181818181,1.2272727272727273,1.1363636363636365,,1.3181818181818181,Llama
Kimi,1.5,1.2727272727272727,1.0454545454545454,1.0454545454545454,,1.0454545454545454,Llama
Qwen,2.3181818181818183,2.9545454545454546,1.7272727272727273,1.5909090909090908,,2.0,Llama
Salmon,2.727272727272727,3.3636363636363638,2.090909090909091,2.3636363636363638,,2.6363636363636362,Llama
AF35,3.1052631578947367,4.052631578947368,2.5789473684210527,2.263157894736842,,2.210526315789474,Mistral
GAMA,1.0909090909090908,1.0454545454545454,1.0,1.0,,1.0,Mistral
Kimi,1.0454545454545454,0.9545454545454546,0.9090909090909091,0.9090909090909091,,0.9090909090909091,Mistral
Qwen,2.272727272727273,3.0454545454545454,2.0454545454545454,1.5909090909090908,,1.6818181818181819,Mistral
Salmon,2.6363636363636362,3.5,2.4545454545454546,2.090909090909091,,2.1818181818181817,Mistral
AF35,3.8947368421052633,4.7894736842105265,3.263157894736842,3.8947368421052633,,4.2105263157894735,Qwen
GAMA,2.9545454545454546,3.772727272727273,1.9090909090909092,2.727272727272727,,2.727272727272727,Qwen
Kimi,3.0,3.6363636363636362,2.0454545454545454,3.0,,2.8636363636363638,Qwen
Qwen,3.5454545454545454,4.454545454545454,2.727272727272727,3.3636363636363638,,3.6363636363636362,Qwen
Salmon,3.590909090909091,4.2272727272727275,2.909090909090909,3.409090909090909,,3.6363636363636362,Qwen
AF35,3.2982456140350878,4.245614035087719,2.7192982456140355,2.824561403508772,,3.052631578947368,overall
AF35_summary,,,,,,,overall
GAMA,1.8939393939393938,2.2121212121212124,1.378787878787879,1.621212121212121,,1.6818181818181817,overall
GAMA_summary,,,,,,,overall
Kimi,1.8484848484848484,1.9545454545454544,1.3333333333333333,1.6515151515151514,,1.6060606060606062,overall
Kimi_summary,,,,,,,overall
Qwen,2.7121212121212124,3.484848484848485,2.1666666666666665,2.1818181818181817,,2.4393939393939394,overall
Qwen_summary,,,,,,,overall
Salmon,2.9848484848484844,3.696969696969697,2.484848484848485,2.621212121212121,,2.818181818181818,overall
Salmon_summary,,,,,,,overall
AF35_summary,,,,,,,
GAMA_summary,,,,,,,
Kimi_summary,,,,,,,
Qwen_summary,,,,,,,
Salmon_summary,,,,,,,
